recipe_urls,recipe_name,prep_time,cooking_time,total_time,recipe_servings,recipe_yield,r_ingrids,r_direction,r_nutrition_info
https://www.allrecipes.com/recipe/19037/dessert-crepes/,Dessert Crepes,10 mins,10 mins,20 mins,8,8 crepes,"['4 eggs, lightly beaten', '1 ⅓ cups milk', '2 tablespoons butter, melted', '1 cup all-purpose flour', '2 tablespoons white sugar', '½ teaspoon salt']","['1   In large bowl, whisk together eggs, milk, melted butter, flour sugar and salt until smooth.', '2   Heat a medium-sized skillet or crepe pan over medium heat. Grease pan with a small amount of butter or oil applied with a brush or paper towel. Using a serving spoon or small ladle, spoon about 3 tablespoons crepe batter into hot pan, tilting the pan so that bottom surface is evenly coated. Cook over medium heat, 1 to 2 minutes on a side, or until golden brown. Serve immediately.']",['Per Serving:  164 calories; protein 6.4g; carbohydrates 17.2g; fat 7.7g; cholesterol 111.1mg; sodium 234.5mg.']
https://www.allrecipes.com/recipe/277492/slow-cooker-vegan-leek-and-potato-soup/,Slow Cooker Vegan Leek and Potato Soup,20 mins,3 hrs 40 mins,4 hrs,8,8 servings,"['¼ cup vegan butter', '3 tablespoons olive oil', '2 large leeks, diced', '1 yellow onion, minced', '1 large carrot, diced', '1 cup minced Pleurotus mushrooms (oyster mushrooms)', '2 pounds potatoes, peeled and diced', '4 cups low-sodium vegetable broth', '1 cup unsweetened oat milk, divided', '1 tablespoon potato starch', 'salt and ground black pepper to taste']","['1   Turn on the Saute function on your slow cooker. Heat vegan butter and olive oil. Add leeks, onion, carrot, and mushrooms. Cook and stir until leeks and onions are translucent and softened, carrots have softened, and minced mushrooms have liquefied, about 7 minutes. Add potatoes and vegetable broth; mix well. Mix 1 tablespoon of the oat milk with potato starch to create a slurry and stir it into the soup.', '2   Heat remaining oat milk in a microwave-safe bowl in the microwave until hot, about 30 seconds. Pour it into the soup and season with salt and pepper. Turn off Saute function.', '3   Cook in the slow cooker on Low for 6 hours or on High for 3 1/2 hours. Stir soup before serving.']",['Per Serving:  251 calories; protein 3.6g; carbohydrates 35.7g; fat 11g; sodium 200mg.']
https://www.allrecipes.com/recipe/276451/slow-cooker-turkey-meatballs-in-tomato-sauce/,Slow Cooker Turkey Meatballs in Tomato Sauce,15 mins,4 hrs 5 mins,4 hrs 25 mins,6,6 servings,"['¼ cup minced onion', '1 tablespoon Italian-style salad dressing', '1 ½ pounds ground turkey', '1 ¼ cups Italian-seasoned bread crumbs', '5 cloves garlic, crushed', '2 tablespoons Italian seasoning', 'salt and ground black pepper to taste', '2 (14.5 ounce) cans Italian-style diced tomatoes', '1 (26 ounce) jar marinara sauce', '2 teaspoons dried basil']","['1   Saute onion and Italian dressing in a small saute pan over medium heat for 5 minutes. Remove from heat and let cool slightly, about 5 minutes.', '2   Combine turkey, bread crumbs, garlic, sauteed onions, Italian seasoning, salt, and pepper in a bowl; mix well.', '3   Combine diced tomatoes and marinara in a second bowl; set aside.', '4   Form 1/2 of the turkey mixture into 1 1/2-inch meatballs and layer them in the bottom of a slow cooker. Pour 1/2 of the tomato mixture over the meatballs. Form the remaining turkey mixture into meatballs and layer with remaining tomato mixture.', '5   Cover and cook until no longer pink in the centers, about 4 hours on High, or 8 hours on Low.']",['Per Serving:  415 calories; protein 29.8g; carbohydrates 41.1g; fat 14.1g; cholesterol 86.5mg; sodium 1281.2mg.']
https://www.allrecipes.com/recipe/256610/grandmas-hungarian-stuffed-cabbage-slow-cooker-variation/,"Grandma's Hungarian Stuffed Cabbage, Slow Cooker Variation",25 mins,7 hrs 14 mins,7 hrs 44 mins,8,8 servings,"['1 head cabbage', '1 tablespoon vegetable oil', '1 onion, chopped', '2 cloves garlic, crushed', '¾ cup uncooked white rice, rinsed', '1 pound ground beef', '1 pound ground pork sausage', '1 egg, beaten', '1 (32 ounce) can tomato juice']","['1   Bring a large pot of water to a boil. Cook cabbage in boiling water until outer leaves pull away easily from the head, 3 to 5 minutes. Separate leaves and let cool. Reserve 1 1/2 cup cooking water.', '2   Heat oil in a large skillet. Add onion and garlic; cook and stir until translucent, about 5 minutes. Stir in wet rice; cook and stir until moisture evaporates, about 1 minute. Remove from heat and let cool, about 5 minutes.', '3   Mix beef, sausage, and egg together in a large bowl. Stir in cooled rice mixture.', '4   Place a golfball-sized amount of the beef mixture on the ribbed end of a cabbage leaf; roll up, tucking in the sides. Repeat with remaining beef mixture and cabbage leaves.', '5   Place rolls seam-side down in a slow cooker. Cover with tomato juice. Pour reserved cooking water on top.', '6   Cook on High for 30 minutes. Switch to Low and cook for 6 1/2 hours.']",['Per Serving:  403 calories; protein 22.4g; carbohydrates 30.6g; fat 21.7g; cholesterol 91.2mg; sodium 884mg.']
https://www.allrecipes.com/recipe/276968/slow-cooked-stew-meat-chili/,Slow-Cooked Stew Meat Chili,20 mins,6 hrs 5 mins,6 hrs 25 mins,8,8 servings,"['1 ½ tablespoons vegetable oil', '¾ pound cubed beef stew meat', '2 tablespoons chili powder', '1 teaspoon ground cumin', '2 tablespoons all-purpose flour', '1 (28 ounce) can diced tomatoes', '1 (16 ounce) can black beans, rinsed and drained', '1 (16 ounce) can kidney beans, rinsed and drained', '1 ¾ cups beef broth, divided', '1 large onion, chopped', '1 small green or red bell pepper, chopped', '¼ cup chopped fresh parsley', '2 tablespoons barbeque sauce', '1 ½ tablespoons brown sugar', '2 cloves garlic, or more to taste, minced', '¾ teaspoon salt']","['1   Heat oil in a large skillet over medium-high heat. Add stew meat and brown for 2 minutes, stirring often. Add chili powder and cumin; cook and stir until fragrant, about 1 minute. Stir in flour and cook for 1 minute more. Transfer meat to a large slow cooker.', '2   Add diced tomatoes, black beans, kidney beans, 1 1/2 cups beef broth, onion, bell pepper, parsley, barbecue sauce, brown sugar, garlic, and salt to the slow cooker; stir until well combined.', '3   Cover and cook on Low, stirring occasionally, until beef is tender, 6 to 8 hours. Thin the chili with remaining beef broth as it cooks, if consistency is too thick.']",['Per Serving:  268 calories; protein 15.6g; carbohydrates 30.4g; fat 9.3g; cholesterol 23.4mg; sodium 966.9mg.']
https://www.allrecipes.com/recipe/274531/creamy-slow-cooker-steel-cut-oats/,Creamy Slow Cooker Steel-Cut Oats,5 mins,8 hrs,8 hrs 5 mins,8,8 servings,"['4 cups water', '2 cups steel cut oats', '2 cups almond milk', '2 cups half-and-half', '½ cup brown sugar', '½ cup raisins', '1 cinnamon stick']","['1   Combine water, steel cut oats, almond milk, half-and-half, brown sugar, raisins, and cinnamon stick in a slow cooker; mix to combine. Cook on Low until oats are soft, about 8 hours.    Advertisement']",['Per Serving:  325 calories; protein 7.4g; carbohydrates 52.6g; fat 10.2g; cholesterol 22.4mg; sodium 73.2mg.']
https://www.allrecipes.com/recipe/275943/slow-cooker-chicken-bone-broth/,Slow Cooker Chicken Bone Broth,15 mins,1 hr 30 mins,1 hr 45 mins,8,8 servings,"['3 pounds assorted chicken bones', '6 cloves garlic, unpeeled', '2 unpeeled carrots, cut into chunks', '2 stalks celery with leaves, cut into chunks', '1 onion, unpeeled and quartered', '2 tablespoons olive oil', '2 tablespoons apple cider vinegar', '2 bay leaves', '1 teaspoon sea salt', '½ teaspoon black peppercorns', '12 cups water, or as needed']","['1   Preheat the oven to 400 degrees F (200 degrees C).', '2   Place chicken bones, garlic cloves, carrots, celery, and onion on a baking sheet and drizzle with olive oil. Toss to coat.', '3   Roast in the preheated oven for 30 minutes, stirring halfway through.', '4   Transfer roasted bones and vegetables into a 6-quart slow cooker. Add vinegar, bay leaves, salt, and peppercorns. Cover completely with water and cook on Low for 24 to 48 hours, adding 1 to 2 cups more water during the cooking process, to keep bones submerged.', '5   Strain broth using a fine mesh strainer. Pour into jars and refrigerate until ready to use.']",['Per Serving:  414 calories; protein 30.1g; carbohydrates 5.5g; fat 29.4g; cholesterol 143mg; sodium 376.4mg.']
https://www.allrecipes.com/recipe/219782/meadowwood-tapioca-pudding/,Meadowwood Tapioca Pudding,15 mins,2 hrs 30 mins,2 hrs 45 mins,8,8 servings,"['4 cups whole milk', '⅔ cup white sugar', '2 teaspoons vanilla extract', '½ teaspoon salt', '½ cup small tapioca pearls', '3 egg yolks']","['1   Whisk the milk, sugar, vanilla extract, salt, and tapioca pearls in a slow cooker until the sugar has dissolved. Turn the cooker to high setting, cover with lid, and cook for 2 hours. (If preferred, set on low setting and cook for 4 hours. Stir pudding occasionally during cooking.)', '2   Place egg yolks into a bowl, and whisk until smooth. Mix about 1 tablespoon of the hot pudding into the egg yolks until thoroughly combined; continue gradually mixing hot tapioca pudding into the egg yolks, slowly increasing the amount of pudding mixed in, until the yolks and pudding total about 2 cups. Slowly pour the yolk mixture into the pudding in the slow cooker until blended, whisking constantly until the egg yolks have thickened the pudding, about 5 minutes.', '3   Place lid back on the cooker, and continue cooking until the pudding is your desired degree of thickness, on high setting for about 30 more minutes (or low setting for 1 more hour).']",['Per Serving:  190 calories; protein 5g; carbohydrates 29.8g; fat 5.6g; cholesterol 89mg; sodium 197.6mg.']
https://www.allrecipes.com/recipe/58312/slow-cooker-chai/,Slow Cooker Chai,15 mins,8 hrs 5 mins,8 hrs 20 mins,16,16 servings,"['3 ½ quarts water', '15 slices fresh ginger, peeled', '15 green cardamom pods, split open and seeded', '25 whole cloves', '3 cinnamon sticks', '3 whole black peppercorns', '8 black tea bags', '1 (14 ounce) can sweetened condensed milk']","['1   Pour water into the crock of a slow cooker. Stir in the ginger, cardamom pods, cloves, cinnamon sticks, and peppercorns. Turn to High; simmer for 8 hours.', '2   Steep tea bags in the hot spiced water for 5 minutes. Strain tea into a clean container. Stir in sweetened condensed milk; serve hot.']",['Per Serving:  90 calories; protein 2.2g; carbohydrates 15.6g; fat 2.3g; cholesterol 8.3mg; sodium 42mg.']
https://www.allrecipes.com/recipe/174543/slow-cooker-butter-chicken/,Slow Cooker Butter Chicken,15 mins,4 hrs 15 mins,4 hrs 30 mins,6,6 servings,"['2 tablespoons butter', '2 tablespoons vegetable oil', '4 large skinless, boneless chicken thighs, cut into bite-sized pieces', '1 onion, diced', '3 cloves garlic, minced', '2 teaspoons curry powder', '1 tablespoon curry paste', '2 teaspoons tandoori masala', '1 teaspoon garam masala', '1 (6 ounce) can tomato paste', '15 green cardamom pods', '1 cup low-fat plain yogurt', '1 (14 ounce) can coconut milk', 'salt to taste']","['1   Melt the butter and vegetable oil in a large skillet over medium heat. Stir in the chicken, onion, and garlic. Cook and stir until the onion has softened and turned translucent, about 10 minutes. Stir in the curry powder, curry paste, tandoori masala, garam masala, and tomato paste until no lumps of tomato paste remain. Pour into a slow cooker, and stir in the cardamom pods, coconut milk, and yogurt. Season to taste with salt.', '2   Cook on High 4 to 6 hours, or on Low 6 to 8 hours until the chicken is tender and the sauce has reduced to your desired consistency. Remove and discard the cardamom pods before serving.']",['Per Serving:  480 calories; protein 30.6g; carbohydrates 17.2g; fat 33.3g; cholesterol 102.6mg; sodium 442mg.']
